"White","Black","Pawn","Bishop","Knight","Rook","King","Queen","From","To","WhiteTurn"
"67303935","-9570007474241536","62487586630990080","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","12","28","true"
"335735295","-9570007474241536","62487586899421440","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","32","24","false"
"335735295","-27514037239545856","44543557134117120","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","4","12","true"
"335739375","-27514037239545856","44543557134117120","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606851072","576460752303423496","56","48","false"
"335800575","-27514037239545856","44543557134182400","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","57","42","false"
"335735295","-9570011752431616","62487582621231360","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","5","12","true"
"335739359","-9570011752431616","62487582621231360","2594073385365409796","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","50","42","false"
"344123839","-9570011752431616","62487582621231360","2594073385365405732","4755801206511632386","-9151314442816847743","1152921504606846992","576460752303423496","62","47","false"
"69392895","-9570007474241536","62487586633079040","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","49","33","false"
"69392895","-10691509334573056","61366084772747520","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","8","24","true"
"69458175","-10691509334573056","61366084772812800","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","51","43","false"
"86169855","-10691509334573056","61366084789524480","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","56","48","false"
"69392895","-10132948837728256","61924645269592320","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","3","10","true"
"337824255","-10132948837728256","61924645538023680","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","62","45","false"
"69393403","-10132948837728256","61924645269592320","2594073385365406240","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","55","39","false"
"69393911","-10132948837728256","61924645269592320","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303424512","54","38","false"
"67303935","-9568912257581056","62488681847650560","2594073385365405732","4755801206503243842","-9151314442816847743","1152921504606846992","576460752303423496","12","20","true"
